	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0;round:0	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+;round:0	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:+ | labial:-,-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:+ | labial:-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0 | labial:-,-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive			ɖ	ɟ		2/5	0.37460046095150185
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ	ɗ			-	2/4	0.7759022994149245
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	ʈ	k	kʷ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s				1/5	0.5921979675614456
	2/4	3/4	2/4	2/4	1/3
	0.5733138911257707	0.8189290580010798	0.9658339191688086	0.8566206308881568	0.6329851468258059
