		ɖ	ɟ		2/5	0.41636219747028996
ɓ	ɗ			-	2/4	0.6951964164621721
p	t	ʈ	k	kʷ	5/5	1.0
2/3	2/3	2/3	2/3	1/2
0.6803625876639473	0.7105061839910463	0.9857865768666627	0.98314597476984	0.8240255992155922
