	labial:+;labiodental:-;coronal:-;strident:0;high:0;low:0;front:0;back:0	labial:+;labiodental:+;coronal:-;strident:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;high:0;low:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		f	s	2/3	0.947321814265868
periodicGlottalSource:+;sonorant:-;nasal:-	β	v	z	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	-	ɱv	nz	2/2	1.0
	1/2	3/3	3/3
	0.5479002076962644	1.0	1.0
