	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	v		ʝ	2/3	0.42739709187284014
periodicGlottalSource:+;spreadGlottis:+	vʱ		-	1/2	0.5424029620771222
periodicGlottalSource:-;spreadGlottis:-		s		1/3	0.7089205643777481
	2/3	1/3	1/2
	0.33773059233668207	0.7880577635907675	0.2621936767279154
