	labial:+;labiodental:+;coronal:-;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	v	z	ʁ	ʁʷ	4/4	1.0
periodicGlottalSource:-	f	s	χ	χʷ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
