	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-,+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	b	d	dˠ	ɡ		4/5	0.9818842502446286
periodicGlottalSource:-	p	t	tˠ	k	q	5/5	1.0
	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	0.8714529730370428
