	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-,+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+				zˠ	ʁ		2/6	0.22105701336550848
periodicGlottalSource:-	f	s	ʃ	sˠ	χ	ħ	6/6	1.0
	1/2	1/2	1/2	2/2	2/2	1/2
	0.6630955642992665	0.794102992134017	0.7792169255142991	1.0	1.0	0.7233606974850547
