	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;dorsal:-,+;front:+	labial:-;coronal:+;anterior:+;dorsal:-,+;front:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	labial:-;coronal:-;anterior:0;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+	v	z	ʐ	vʲ	zʲ			5/7	0.7786502662332466
periodicGlottalSource:-	f	s	ʂ	fʲ	sʲ	x	xʲ	7/7	1.0
	2/2	2/2	2/2	2/2	2/2	1/2	1/2
	1.0	1.0	1.0	1.0	1.0	0.6980646335439697	0.7613290727810489
