	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+ | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;high:0;low:0;back:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d̪		bʲ	d̪ʲ		ɡ	ɡʲ	6/8	0.8403566152952208
periodicGlottalSource:+;category:fricative	v		z	vʲ	zʲ	ʐ			5/8	0.7188671297353552
periodicGlottalSource:-;category:affricate|plosive	p	t̪	t̪s	pʲ	t̪ʲ	tɕ	k	kʲ	8/8	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	fʲ	sʲ	ʂ	x	xʲ	7/8	0.9428486069269946
	4/4	2/4	3/4	4/4	4/4	3/4	3/4	3/4
	1.0	0.8337086869543983	0.8955639183717732	1.0	1.0	0.885121767895159	0.9458984764575173	0.9783727721440256
