	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪		ɖ	ɡ	4/5	0.7649237779231174
periodicGlottalSource:+;spreadGlottis:+	b̤	d̪̤		ɖ̤	ɡʱ	4/5	0.7583868395059399
periodicGlottalSource:-;spreadGlottis:-	p	t̪	t	ʈ	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ		ʈʰ	kʰ	4/5	0.7831608806263682
	4/4	4/4	1/4	4/4	4/4
	1.0	1.0	0.5821512447112457	1.0	1.0
