	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v				1/4	0.2700345348985572
periodicGlottalSource:-		s	ʂ	x	3/4	0.8200864041256661
	1/2	1/2	1/2	1/2
	0.33747892892306774	0.7982510323809631	0.7723823163067765	0.7044347480298516
