			ɡ	1/4	0.3017162655190232
f		s		2/4	0.7307155530096854
p	t	ts	k	4/4	1.0
2/3	1/3	2/3	2/3
0.7026847258565004	0.667271932106039	0.8819875631119595	0.8703076603118558
