	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive				ɡ	1/4	0.3017162655190232
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		s		2/4	0.7307155530096854
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	k	4/4	1.0
	2/3	1/3	2/3	2/3
	0.7026847258565004	0.667271932106039	0.8819875631119595	0.8703076603118558
