	labial:+;labiodental:+;coronal:-;high:0;low:0;front:0;back:0;round:-	labial:-;labiodental:0;coronal:+;high:0;low:0;front:0;back:0;round:0	labial:-,+;labiodental:-;coronal:+;high:0;low:0;front:0;back:0;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	sʷ	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v	z	zʷ	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv			1/3	0.4811022287756698
	3/3	2/3	2/3
	1.0	0.9987969297991021	0.9992279560494343
