	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:+;coronal:-;dorsal:-;front:0;round:-,+	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-,+;coronal:+;dorsal:-;front:0;round:+	labial:+;coronal:-;dorsal:-,+;front:+;round:-	labial:-;coronal:+;dorsal:-,+;front:+;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	labial:-,+;coronal:-;dorsal:+;front:-,+;round:+	count	markedness_count
periodicGlottalSource:+	b		d	dʷ	bʲ	dʲ	ɡ	ɡʲ	ɡʷ	ɡᶣ	9/10	0.9973189318693605
periodicGlottalSource:-		pʷ	t	tʷ		tʲ	k	kʲ	kʷ	kᶣ	8/10	0.7535705706025789
	1/2	1/2	2/2	2/2	1/2	2/2	2/2	2/2	2/2	2/2
	0.3520981260077749	0.48702658660571907	1.0	1.0	0.380471005987578	1.0	1.0	1.0	1.0	1.0
