	labial:+;coronal:-;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β			1/3	0.34191896258431004
periodicGlottalSource:-	ɸ	ʃ	ʂ	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7740861771884974	0.7934624570684178
