	labial:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-;strident:-,+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-,+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	ts	t̠ʃ	t̠ʃʷ	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-		d̠ʒ	d̠ʒʷ	2/3	0.640476626138819
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		n̠d̠ʒ	-	1/2	0.5267655643234989
	1/3	3/3	2/2
	0.8188155348950458	1.0	1.0
