	labial:+;labiodental:+;coronal:-;dorsal:-;round:-	labial:+;labiodental:+,-;coronal:-;dorsal:-;round:-,+	labial:-,+;labiodental:-;coronal:+;dorsal:-;round:+	labial:-;labiodental:0;coronal:-;dorsal:+;round:0 | labial:-;labiodental:0;coronal:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;dorsal:-;round:0;anterior:-;distributed:+;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+				ɣ	1/4	0.8544712231364692
periodicGlottalSource:-	f	fʷ	ʃʷ	ʃ	4/4	1.0
	1/2	1/2	1/2	2/2
	0.7610533045600901	0.9721589332776838	0.56736718991663	1.0
