	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-,+ | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-,+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:+	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	pʷ	p	t	ts	t̠ʃ	tʷ	t̠ʃʷ	k	kʷ	9/9	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive					d̠ʒ		d̠ʒʷ	ɡ		3/9	0.3767947068104136
periodicGlottalSource:+;category:fricative								ɣ		1/9	0.23750747813333956
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate|plosive		pʰ								1/9	0.2009672605715391
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate|plosive		mb	nd		n̠d̠ʒ		-	ŋɡ	ŋɡʷ	5/8	0.935771824161496
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	fʷ	f			ʃ		ʃʷ			4/9	0.3300309463980766
	2/6	4/6	2/6	1/6	4/6	1/6	3/5	4/6	2/6
	0.6108524678593727	0.6725274091356126	0.5657075881704607	0.2529648109407327	0.8435050998527686	0.5138063827098251	0.6049963395344022	0.7751739640894462	0.5334174929743278
