	labiodental:0;coronal:+;dorsal:-;round:0	labiodental:0;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	ʒ	ʁ	2/2	1.0
periodicGlottalSource:-	ʃ		1/2	0.7614118360496821
	2/2	1/2
	1.0	0.29522793278914716
