	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:-;anterior:+;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:-;dorsal:-;high:0;back:0	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;high:+;back:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive		d̪	d̠ʒ	ɡ		3/5	0.7098574265958352
periodicGlottalSource:+;category:fricative			ʒ		ʁ	2/5	0.4866583909188278
periodicGlottalSource:-;category:affricate|plosive	p	t̪	t̠ʃ	k	q	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			ʃ			1/5	0.514184984049367
	1/4	2/4	4/4	2/4	2/4
	0.5024236493692108	0.9048957579216156	1.0	0.8598678076230013	0.6672229522807662
