	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b	bʷ	d	ɡb	ɟ	ɡ		6/7	0.9784357142364875
periodicGlottalSource:-	p	pʷ	t	kp	c	k	kʷ	7/7	1.0
	2/2	2/2	2/2	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	1.0	1.0	1.0	0.8240255992155922
