	labiodental:0;coronal:+;dorsal:-;round:0	labiodental:0;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	t	k	2/2	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	nd	ŋɡ	2/2	1.0
	2/2	2/2
	1.0	1.0
