	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-,+	count	markedness_count
periodicGlottalSource:+	β	z̻	ʐ	zʲ	4/4	1.0
periodicGlottalSource:-		s̻	ʂ	sʲ	3/4	0.7676850839158265
	1/2	2/2	2/2	2/2
	0.33747892892306774	1.0	1.0	1.0
