	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;round:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;round:0;lateral:-	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;round:+;front:+ | labial:-,-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;round:+;front:+ | labial:-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:+;high:0;low:0;front:0;back:0 | labial:-,-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:+;high:0;low:0;front:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;round:0;front:+ | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;round:0;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;round:0;high:+;low:-;front:+;back:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t	kʷ	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s		ʃ	2/4	0.8137882971200627
	1/2	2/2	1/2	2/2
	0.7008776193210051	1.0	0.6148883391287299	1.0
