	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
spreadGlottis:-;category:affricate|plosive	p	t	cç	k	q	5/5	1.0
periodicGlottalSource:+;category:fricative	β	z		ɣ	ʁ	4/5	0.9702285310821023
spreadGlottis:+;category:affricate|plosive	pʰ	tʰ	cçʰ	kʰ	qʰ	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɸ	s		x	χ	4/5	0.9713684011288067
	4/4	4/4	2/4	4/4	4/4
	1.0	1.0	0.8356411094189802	1.0	1.0
