	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:0 | labial:-;coronal:+;strident:-;anterior:-;dorsal:-;front:0;lateral:-;distributed:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:-	labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:+;front:+;distributed:+ | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;anterior:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:- | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:+ | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	d̪|d	ɡ	ɟ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ	ɗ̪|ɗ			2/4	0.8107646201300265
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪|t	k	c	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		θ		ʃ	2/4	0.6957553816196931
	3/4	4/4	2/4	3/4
	0.8418626067290457	1.0	0.8622049633249628	0.989604077963081
