	labial:-;anterior:+;distributed:-;dorsal:-	labial:-;anterior:-;distributed:+;dorsal:-	labial:-;anterior:-;distributed:-;dorsal:-	labial:-,+;anterior:+;distributed:-;dorsal:-	labial:-;anterior:+;distributed:-;dorsal:-,+	count	markedness_count
periodicGlottalSource:+	z	ʒ	ʐ		zʲ	4/5	0.981129504019903
periodicGlottalSource:-	s	ʃ	ʂ	sʷ	sʲ	5/5	1.0
	2/2	2/2	2/2	1/2	2/2
	1.0	1.0	1.0	0.5307328409894789	1.0
