	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;high:0;low:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	ð	2/2	1.0
periodicGlottalSource:-	f	s	2/2	1.0
	2/2	2/2
	1.0	1.0
