	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t̪	k	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	n̪d̪	ŋɡ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
