	labial:-;coronal:+;dorsal:-	labial:-,+;coronal:-;dorsal:+,-	count	markedness_count
periodicGlottalSource:+	dz	ɡv	2/2	1.0
periodicGlottalSource:-	ts	kf	2/2	1.0
	2/2	2/2
	1.0	1.0
