	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+	labial:-,+;labiodental:+;coronal:-;strident:0;dorsal:+,-	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	ɡb	ɡ	ɡv	6/6	1.0
periodicGlottalSource:+;category:fricative	v		z	-	ɣ		3/5	0.9336977475404878
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	kp	k	kf	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	-	x	-	3/4	0.9255737229294044
	4/4	2/4	4/4	2/2	4/4	2/3
	1.0	0.9287885102262046	1.0	1.0	1.0	0.8000000000000004
