	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;anterior:+;distributed:-,+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;round:0;strident:+ | labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;round:0;strident:-;lateral:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0 | labial:-;labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;round:0;strident:+	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:+;strident:- | labial:-,-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:+;strident:- | labial:-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;strident:+;high:0;low:0;back:0 | labial:-,-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;strident:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive	b	-	d̪	d	ɟ	ɡ	ɡʷ	6/6	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive		-		ɗ			-	1/5	0.3597215450710038
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	-	t̪	t	c	k	kʷ	6/6	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	β	v	ð					3/7	0.4987225374325786
	3/4	1/1	3/4	3/4	2/4	2/4	2/3
	0.9687466478595846	1.0	0.9934970602014438	0.9049124959187353	0.8958271624844402	0.932299197236557	0.940669772925532
