	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	z	ʒ	ʁ	3/3	1.0
periodicGlottalSource:-	s	ʃ	χ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
