	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-	b	d̪	ɖ	ɟ	ɡ	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+	ɓ	ɗ		ʄ	ɠ	4/5	0.972301929362609
periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-	bʱ	d̪ʱ	ɖʱ	ɟʱ	ɡʱ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-	p	t̪	ʈ	c	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-	pʰ	t̪ʰ	ʈʰ	cʰ	kʰ	5/5	1.0
	5/5	5/5	4/5	5/5	5/5
	1.0	1.0	0.9857865768666627	1.0	1.0
