	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̺	d̠ʒ	ɡ	4/4	1.0
periodicGlottalSource:+;category:fricative	v	z	ʒ		3/4	0.758067566214911
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	pf	ts	t̠ʃ		3/4	0.6857225593463718
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	ʃ	ç	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̺ʰ		kʰ	3/4	0.9024590252273222
	5/5	5/5	4/5	3/5
	1.0	1.0	0.917759098913341	0.45438676440596265
