	labiodental:0;lateral:-,+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-,+;constrictedGlottis:-,+	tɬ̰	-	-	1/1	1.0
periodicGlottalSource:+;constrictedGlottis:+	-	ts̰	t̠ʃ̰	2/2	1.0
periodicGlottalSource:-;constrictedGlottis:-	tɬ	ts	t̠ʃ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
