	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-,+;constrictedGlottis:-,+;category:affricate|plosive	-	tɬ̰	-	-	-	-	-	-	-	1/1	1.0
periodicGlottalSource:+;constrictedGlottis:+;category:affricate|plosive	p̰	-	t̰	ts̰	t̠ʃ̰	k̰	k̰ʷ	q̰	q̰ʷ	8/8	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		ɬ		s	ʃ	x	xʷ	χ	χʷ	7/9	0.7727953612887081
periodicGlottalSource:-;constrictedGlottis:-;category:affricate|plosive	p	tɬ	t	ts	t̠ʃ	k	kʷ	q	qʷ	9/9	1.0
	2/3	3/3	2/3	3/3	3/3	3/3	3/3	3/3	3/3
	0.7673414552992985	1.0	0.936737196713926	1.0	1.0	1.0	1.0	1.0	1.0
