	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b				1/4	0.30553912065697547
periodicGlottalSource:-		t	k	kʷ	3/4	0.7529108862245539
	1/2	1/2	1/2	1/2
	0.3520981260077749	0.6982137273139257	0.7131090135848781	0.8209037735575385
