b				1/4	0.31395761719709153
	t	kʷ	k	3/4	0.74704353612284
	s		ʃ	2/4	0.8137882971200627
1/3	2/3	1/3	2/3
0.29675153617446903	0.7840663472366128	0.6311478029109631	0.7949783585422254
