b	d	dz		ɡb	ɡ	5/6	0.9267987013578942
f		s	ʃ	-	x	4/5	0.901043083704671
	t	ts		kp	k	4/6	0.6948041636632559
2/3	2/3	3/3	1/3	2/2	3/3
0.45512437056774824	0.9259297106463319	1.0	0.297035055011415	1.0	1.0
