	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:- | labial:-;coronal:+;anterior:-;dorsal:-;strident:-;lateral:-;distributed:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+		ɖ	ɡ	2/3	0.6930690810403726
periodicGlottalSource:-	p	t	k	3/3	1.0
	1/2	2/2	2/2
	0.6469266840209866	1.0	1.0
