	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β				1/4	0.2710152922264289
periodicGlottalSource:-		s	ʃ	χ	3/4	0.8184905871485952
	1/2	1/2	1/2	1/2
	0.33747892892306774	0.7931118804251478	0.7783204924998441	0.7044347480298516
