	labiodental:0;coronal:+;anterior:+;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	z̪|z			1/3	0.44598489846969225
periodicGlottalSource:-	s̪|s	ʃ	x	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7723823163067765	0.7044347480298516
