	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ	ɗ	ʄ		3/4	0.9199464835173089
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t	c	k	4/4	1.0
	3/3	3/3	3/3	2/3
	1.0	1.0	1.0	0.9942958712195662
