	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+	b	d	ɡ	ɡʲ	4/4	1.0
periodicGlottalSource:-	p	t		kʲ	3/4	0.6656818160463515
	2/2	2/2	1/2	2/2
	1.0	1.0	0.2592229910662003	1.0
