	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-,+ | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-,+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-,+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;lateral:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;round:+;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:- | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:- | labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-;front:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-;front:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:+;retractedTongueRoot:-;front:0 | labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:+;retractedTongueRoot:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:+;retractedTongueRoot:+ | labial:-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:-;low:+;back:+;round:+;retractedTongueRoot:+;front:+ | labial:-,-,+;labiodental:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:-;low:+;back:+;round:+;retractedTongueRoot:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;high:+;low:-;back:-;round:0;retractedTongueRoot:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;front:0	count	markedness_count
periodicGlottalSource:+;category:plosive	bˤ	b	d̪	dˤ				ɡʷ	ɡ	6/9	0.9798305357389394
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive		p	t̪	tˤ	q	-	qʷ	kʷ	k	7/8	0.9998963592035596
periodicGlottalSource:+;category:fricative		v	z̪	zˤ	ʁ	ʕ	ʁʷ		ʒ	7/9	0.9899687615995937
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	-	f	s̪	sˤ	χ	ħ	χʷ	ħʷ	ʃ	8/8	1.0
	1/3	4/4	4/4	4/4	3/4	2/3	3/4	3/4	4/4
	0.35552823874889017	1.0	1.0	1.0	0.91420979782752	0.9865300961803996	0.953440739172327	0.9725205762755944	1.0
