	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;retractedTongueRoot:-,+ | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;retractedTongueRoot:-,+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;retractedTongueRoot:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;retractedTongueRoot:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;retractedTongueRoot:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;retractedTongueRoot:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;retractedTongueRoot:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;retractedTongueRoot:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;retractedTongueRoot:-;lateral:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;retractedTongueRoot:+;high:-;low:+;back:+	count	markedness_count
periodicGlottalSource:+;category:plosive		b	d	ɡb	ɟ	ɡ	5/6	0.9997487524144655
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	pˤ	p	t	kp	c	k	6/6	1.0
periodicGlottalSource:+;category:fricative		v	z	-			2/5	0.7581043283203063
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	-	f	s	-		x	3/4	0.9713071615152838
	1/3	4/4	4/4	2/2	2/4	3/4
	0.33759475517312026	1.0	1.0	1.0	0.8169284772664792	0.9455408813756493
