	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;retractedTongueRoot:-	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;retractedTongueRoot:-,+	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;retractedTongueRoot:-	labial:+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;retractedTongueRoot:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	b		d	ɡb	ɟ	ɡ	5/6	0.9997487524144655
periodicGlottalSource:-	p	pˤ	t	kp	c	k	6/6	1.0
	2/2	1/2	2/2	2/2	2/2	2/2
	1.0	0.48706327467633564	1.0	1.0	1.0	1.0
