	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	β	v	z	ʒ	ʁ	ʁʷ	6/6	1.0
periodicGlottalSource:-	ɸ	f	s	ʃ	χ	χʷ	6/6	1.0
	2/2	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0	1.0
