		t	kp	k	3/5	0.7424144374528723
b	bʷ	d	ɡb		4/5	0.666063936053071
mb		nd		ŋɡ	3/5	0.976022663924358
2/3	1/3	3/3	2/3	2/3
0.3564673241556326	0.4349940651989912	1.0	0.9487293409108509	0.7318314894732322
