	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;strident:+	count	markedness_count
periodicGlottalSource:+	β	ʒ	2/2	1.0
periodicGlottalSource:-	ɸ	s	2/2	1.0
	2/2	2/2
	1.0	1.0
