		t	t̠ʃ	kp	k	4/6	0.7896856559796507
b	bʷ	d	d̠ʒ	ɡb		5/6	0.6948204122167986
β			ʒ	-		2/5	0.6789013380910065
mb		nd	n̠d̠ʒ		ŋɡ	4/6	0.9774655229420592
ɸ			s	-		2/5	0.69749584721383
4/5	1/5	3/5	5/5	2/3	2/5
0.5013677992913921	0.3130155538477707	0.9024938219897998	1.0	0.9487293409108509	0.6025708301724673
