	labial:+;coronal:-;dorsal:-;round:-	labial:+;coronal:-;dorsal:-;round:-,+	labial:-;coronal:+;dorsal:-;round:0	labial:+;coronal:-;dorsal:+;round:-	labial:-;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-			t	kp	k	3/5	0.7424144374528723
periodicGlottalSource:+;sonorant:-;nasal:-	b	bʷ	d	ɡb		4/5	0.666063936053071
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb		nd		ŋɡ	3/5	0.976022663924358
	2/3	1/3	3/3	2/3	2/3
	0.3564673241556326	0.4349940651989912	1.0	0.9487293409108509	0.7318314894732322
