	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:- | labial:-;coronal:+;distributed:-,+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t̪	t	k	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd̪		ŋɡ	3/4	0.73932259148962
	2/2	2/2	1/2	2/2
	1.0	1.0	0.7038039338534983	1.0
