	labial:+;coronal:-;strident:0;dorsal:-	labial:-;coronal:+;strident:-;dorsal:-	labial:-;coronal:+;strident:+;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	ð		2/3	0.9782218420224292
periodicGlottalSource:-		θ	ɕ	2/3	0.7875493697530034
	1/2	2/2	1/2
	0.33747892892306774	1.0	0.7184298722852505
