	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;epilaryngealSource:-;round:-;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	β	1/1	1.0
periodicGlottalSource:-	ɸ	1/1	1.0
	2/2
	1.0
