		cˀ	kˀ	2/4	0.47352408283867214
b	d	ɟ	ɡ	4/4	1.0
b̰	d̰	ɟ̰		3/4	0.7017744394992349
p	t	c	k	4/4	1.0
3/4	3/4	4/4	3/4
0.9254235891312265	0.9263129092176258	1.0	0.9924911730949563
