	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+			cˀ	kˀ	2/4	0.47352408283867214
periodicGlottalSource:+;constrictedGlottis:-	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:+	b̰	d̰	ɟ̰		3/4	0.7017744394992349
periodicGlottalSource:-;constrictedGlottis:-	p	t	c	k	4/4	1.0
	3/4	3/4	4/4	3/4
	0.9254235891312265	0.9263129092176258	1.0	0.9924911730949563
