	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	-	d̪	d̠ʒ	ɖ	ɡ	5/5	1.0
periodicGlottalSource:+;category:fricative			z̪	ʒ		ɣ	3/6	0.715418225165159
periodicGlottalSource:-;category:affricate|plosive	p		t̪	t̠ʃ	ʈ	k	5/6	0.9997438135579678
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ̪	s̪	ʃ		x	5/6	0.9946881967004884
	3/4	1/3	4/4	4/4	2/4	4/4
	0.9245876636004398	0.7919788292253983	1.0	1.0	0.9500227250121117	1.0
