	labial:+;coronal:-;strident:0;dorsal:-	labial:-;coronal:+;strident:+;dorsal:- | labial:-;coronal:+;strident:-,+;dorsal:-	labial:-;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s		2/3	0.7881375346038243
periodicGlottalSource:+;sonorant:-;nasal:-			ʁ	1/3	0.2600231575606851
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-		ns	-	1/2	0.6452040443492012
	1/3	2/3	1/2
	0.6644162260341685	0.7939996189531154	0.2949477702790894
