	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0 | labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0;strident:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	ʃ	1/1	1.0
constrictedGlottis:+;raisedLarynxEjective:+	sʼ	1/1	1.0
	2/2
	1.0
