	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-		ɟʝ	1/2	0.05829801442978306
periodicGlottalSource:+;spreadGlottis:+		ɟ̤ʝ	1/2	0.06341613008185316
periodicGlottalSource:-;spreadGlottis:-	ts	cç	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+		cçʰ	1/2	0.03583860012980576
	1/4	4/4
	0.6457670875511113	1.0
