	labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0	labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+	z			1/3	0.6273278411616056
periodicGlottalSource:-	s	ç	x	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7388907479440601	0.6980646335439697
